,category,law_id,law_length,key_count_json,pdf_missing,key_count_training,loss
106,general,(Uganda 2020)_01,6,5,False,0,5
107,general,(El Salvador 2006)_01,55884,4,False,3,1
108,press,(Malta 1974)_01,35583,4,False,4,0
109,cybersecurity,(Uganda 2022)_01,6713,4,False,4,0
110,pcc_code,(Algeria 2016)_01,113340,34,False,3,31
111,pcc_code,(Kosovo 2019)_01,502050,0,False,0,0
112,press,(Malaysia 2025)_01,68071,7,False,7,0
113,digital_age,(Poland 2024)_01,831106,12,False,12,0
114,cybersecurity,(Zambia 2021)_01,88919,20,False,20,0
115,pcc_code,(The Gambia 2013)_01,141,15,False,0,15
116,press,(Myanmar 2013)_01,36458,8,False,7,1
117,pcc_code,(Philippines 2017)_01,86121,5,False,5,0
118,pcc_code,(Kazakhstan 2014)_01,740677,7,False,7,0
119,pcc_code,(Poland 1997)_01,242087,18,False,17,1
120,press,(Nigeria 1992)_01,24693,6,False,4,2
121,press,(Fiji 2010)_01,36,17,False,0,17
122,pcc_code,(Zambia 1931)_01,409951,23,False,23,0
123,general,(Hungary 2023)_01,43860,2,False,2,0
124,digital_age,(Turkey 2020)_01,58339,7,False,7,0
125,pcc_code,(Venezuela 2005)_01,38287,25,False,13,12
126,emergency,(Botswana 2020)_01,6437,0,False,0,0
127,press,(Uruguay 1989)_01,30943,17,False,17,0
128,press,(Gabon 2016)_01,74201,14,False,8,6
129,digital_age,(United States 1996)_01,0,1,True,0,1
