key,human_found,model_found,agreement_found,analysis_version,human_only,model_only,precision,recall
C_EXPRESS_ORDER,3,18,1,v2,2,17,0.05555555555555555,0.3333333333333333
GOV_REGULATOR,7,20,6,v2,1,14,0.3,0.8571428571428571
C_EXPRESS_OBSCENE,5,16,4,v2,1,12,0.25,0.8
IM_PREVENTION,4,12,3,v2,1,9,0.25,0.75
C_EXPRESS_NATSEC,4,11,2,v2,2,9,0.18181818181818182,0.5
GOV_OVERSIGHT,6,12,4,v2,2,8,0.3333333333333333,0.6666666666666666
C_EXPRESS_REPUTATION,3,11,3,v2,0,8,0.2727272727272727,1.0
GOV_WARRANT,3,11,3,v2,0,8,0.2727272727272727,1.0
C_EXPRESS_RELIGION,5,9,3,v2,2,6,0.3333333333333333,0.6
I_DISINFO_INFRA,0,5,0,v2,0,5,0.0,
C_EXPRESS_PROPERTY,3,5,1,v2,2,4,0.2,0.3333333333333333
C_DISINFO_RIGHTS,3,4,0,v2,3,4,0.0,0.0
I_EXPRESS_RIGHTS,0,4,0,v2,0,4,0.0,
I_EXPRESS_ORDER,0,3,0,v2,0,3,0.0,
I_MISINFO_ELECTION,0,3,0,v2,0,3,0.0,
P_MISINFO_UNITY,0,3,0,v2,0,3,0.0,
C_DISINFO_HATE,1,2,0,v2,1,2,0.0,0.0
C_MALINFO_GEN,1,2,0,v2,1,2,0.0,0.0
I_DISINFO_NATINT,0,2,0,v2,0,2,0.0,
I_MISINFO_UNITY,0,2,0,v2,0,2,0.0,
P_DISINFO_ORDER,1,2,0,v2,1,2,0.0,0.0
IM_OVERSIGHT,7,2,1,v2,6,1,0.5,0.14285714285714285
C_DISINFO_GOVCRITIC,0,1,0,v2,0,1,0.0,
C_DISINFO_HISTORY,0,1,0,v2,0,1,0.0,
C_DISINFO_NATREP,0,1,0,v2,0,1,0.0,
C_EXPRESS_LIFE,3,1,0,v2,3,1,0.0,0.0
C_EXPRESS_PUBHEALTH,0,1,0,v2,0,1,0.0,
C_MISINFO_GEN,0,1,0,v2,0,1,0.0,
C_MISINFO_HATE,0,1,0,v2,0,1,0.0,
IM_CORRECT,1,1,0,v2,1,1,0.0,0.0
IM_DAILY,0,1,0,v2,0,1,0.0,
IM_DEPLATFORM,2,1,0,v2,2,1,0.0,0.0
I_DISINFO_GOVCRITIC,0,1,0,v2,0,1,0.0,
I_DISINFO_REPUTATION,1,1,0,v2,1,1,0.0,0.0
I_EXPRESS_CONFIDENCE,0,1,0,v2,0,1,0.0,
I_EXPRESS_HATE,1,1,0,v2,1,1,0.0,0.0
I_MISINFO_GEN,1,1,0,v2,1,1,0.0,0.0
I_MISINFO_INFRA,0,1,0,v2,0,1,0.0,
I_MISINFO_IR,0,1,0,v2,0,1,0.0,
PRESS_OVERSIGHT,3,1,0,v2,3,1,0.0,0.0
P_DISINFO_ECON,0,1,0,v2,0,1,0.0,
P_DISINFO_INFRA,0,1,0,v2,0,1,0.0,
P_EXPRESS_CLASSIFIED,0,1,0,v2,0,1,0.0,
P_EXPRESS_CONFIDENCE,0,1,0,v2,0,1,0.0,
P_EXPRESS_HATE,3,1,0,v2,3,1,0.0,0.0
P_EXPRESS_HEALTHOFF,0,1,0,v2,0,1,0.0,
P_EXPRESS_OBSCENE,0,1,0,v2,0,1,0.0,
P_EXPRESS_RELIGION,2,1,0,v2,2,1,0.0,0.0
P_EXPRESS_REPUTATION,1,1,0,v2,1,1,0.0,0.0
P_EXPRESS_UNITY,1,1,0,v2,1,1,0.0,0.0
P_MISINFO_LIFE,0,1,0,v2,0,1,0.0,
P_MISINFO_RIGHTS,0,1,0,v2,0,1,0.0,
PRESS_FUNDING,1,1,1,v2,0,0,1.0,1.0
C_DISINFO_CONFIDENCE,0,0,0,v2,0,0,,
C_DISINFO_CONFIDENCE_CRISIS,0,0,0,v2,0,0,,
C_DISINFO_CONFIDENCE_DIGI,0,0,0,v2,0,0,,
C_DISINFO_ECON,1,0,0,v2,1,0,,0.0
C_DISINFO_ECON_CRISIS,0,0,0,v2,0,0,,
C_DISINFO_ECON_DIGI,1,0,0,v2,1,0,,0.0
C_DISINFO_ELECTION,1,0,0,v2,1,0,,0.0
C_DISINFO_ELECTION_CRISIS,0,0,0,v2,0,0,,
C_DISINFO_ELECTION_DIGI,0,0,0,v2,0,0,,
C_DISINFO_GEN,4,0,0,v2,4,0,,0.0
C_DISINFO_GEN_CRISIS,0,0,0,v2,0,0,,
C_DISINFO_GEN_DIGI,0,0,0,v2,0,0,,
C_DISINFO_GOVAFFAIRS,0,0,0,v2,0,0,,
C_DISINFO_GOVAFFAIRS_CRISIS,0,0,0,v2,0,0,,
C_DISINFO_GOVAFFAIRS_DIGI,0,0,0,v2,0,0,,
C_DISINFO_GOVCRITIC_CRISIS,0,0,0,v2,0,0,,
